ANOVA table for Choice 1 :
             sum_sq        df         F        PR(>F)
choice_1   0.029919      15.0  5.949394  1.381979e-12
Residual  83.811334  249987.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT  WFIT-FFIT  -0.0095    0.0 -0.0106 -0.0084   True
AWFIT-AWFIT  WFIT-WFIT  -0.0134    0.0 -0.0151 -0.0117   True
 AWFIT-BFIT AWFIT-FFIT  -0.0031    0.0 -0.0037 -0.0025   True
 AWFIT-BFIT AWFIT-WFIT  -0.0165    0.0 -0.0178 -0.0152   True
 AWFIT-BFIT BFIT-AWFIT  -0.0012    0.0 -0.0018 -0.0006   True
 AWFIT-BFIT  BFIT-BFIT   0.0013    0.0  0.0008  0.0018   True
 AWFIT-BFIT  BFIT-FFIT  -0.0017    0.0 -0.0023 -0.0011   True
 AWFIT-BFIT  BFIT-WFIT  -0.0157    0.0 -0.0168 -0.0146   True
 AWFIT-BFIT FFIT-AWFIT  -0.0026    0.0 -0.0032 -0.0019   True
 AWFIT-BFIT  FFIT-BFIT  -0.0001    1.0 -0.0006  0.0005  False
 AWFIT-BFIT  FFIT-FFIT  -0.0027    0.0 -0.0033  -0.002   True
 AWFIT-BFIT  FFIT-WFIT  -0.0164    0.0 -0.0177 -0.0152   True
 AWFIT-BFIT WFIT-AWFIT  -0.0114    0.0 -0.0123 -0.0104   True
 AWFIT-BFIT  WFIT-BFIT    -0.01    0.0 -0.0108 -0.0092   True
 AWFIT-BFIT  WFIT-FFIT  -0.0118    0.0 -0.0129 -0.0108   True
 AWFIT-BFIT  WFIT-WFIT  -0.0158    0.0 -0.0175 -0.0141   True
 AWFIT-FFIT AWFIT-WFIT  -0.0134    0.0 -0.0147 -0.0121   True
 AWFIT-FFIT BFIT-AWFIT   0.0019    0.0  0.0012  0.0026   True
 AWFIT-FFIT  BFIT-BFIT   0.0044    0.0  0.0038   0.005   True
 AWFIT-FFIT  BFIT-FFIT   0.0014    0.0  0.0008  0.0021   True
 AWFIT-FFIT  BFIT-WFIT  -0.0126    0.0 -0.0137 -0.0114   True
 AWFIT-FFIT FFIT-AWFIT   0.0005 0.1859 -0.0002  0.0013  False
 AWFIT-FFIT  FFIT-BFIT   0.0031    0.0  0.0024  0.0037   True
 AWFIT-FFIT  FFIT-FFIT   0.0004 0.5474 -0.0003  0.0012  False
